,1st Submission,2nd Submission,3rd Submission,4th Submission,5th Submission,6th Submission,7th Submission,8th Submission,9th Submission,10th Submission,11th Submission,12th Submission,Global IR,Average Win,Monthly_STD,Unique_Submissions,Rank,AII
bbb3c357,-2.588285599379546,9.64471427933583,-1.874539218218113,4.488847259181257,-0.8956185417181742,-3.962760688344982,-4.049134717593322,5.738031853038347,9.854987135872237,4.1816991068782,0.07932547281503993,-4.242370445407891,32.88981456696906,1.36457465803824,5.217767718888289,12,1,0.0
f8fbd1bf,4.330196403608609,-0.7881274182361411,6.090779151457858,-0.007528382442677862,1.665625655948286,6.647145189048676,5.54841721648872,4.041494519829343,-0.1017014473755538,-5.782532939441333,2.558558575795109,-2.006039934798073,28.65539202087109,1.849690549156902,3.7356883225533846,12,2,0.0
ccb2bfb9,1.654273548679413,0.5670919552921002,4.403668894763642,-0.7711421897680627,4.87429346533077,3.254712833541236,2.678721334005542,-2.461474430271627,9.274874609987435,-0.3302461931228486,-3.246150209408694,6.870617390036399,24.72014583144113,2.230770084088775,3.751250520061512,12,3,0.0
9b7bb959,4.251966161677656,9.192864602375124,-2.279408829430935,3.514324707968443,-1.485152510645505,5.37850642648873,9.021325946959777,5.751035677254513,6.345457393959083,-3.600408901085676,0.589294089180036,-4.591483495909966,21.53685399881584,2.674026772399273,4.810770426114964,12,4,0.0
872bdbc9,4.390187225251546,2.631862853082964,-0.2863541040323972,-2.764337864422341,-5.512452839173124,0.1269484336731118,1.218761694957836,3.027980109632918,3.527094308115066,8.19390242610622,-5.894614370616297,2.748586707989713,17.94236148624983,0.9506303817137681,4.112271717886023,2,5,7.0710678118654755
cd597d34,4.0693238620079,-5.916551951767215,1.32219655014689,-4.040618147127077,0.3602115082852576,6.622275476202194,-5.175483152056184,4.620358661470151,7.887618214081157,0.04102035529713791,0.6414484784330163,5.171142098051106,13.79121335757864,1.3002451627520275,4.580969805634487,12,6,0.0
7589718c,-6.052032096097414,4.332434868327322,-0.4029164908578957,1.088994545880174,-0.3800671209428467,-5.168021777306911,3.991728789265385,7.766585511308566,3.157701390955506,-4.945088500729893,0.7717954301981587,4.424445810140061,12.47064009154358,0.7154633633450178,4.351652746785657,4,7,3.1622776601683795
2b8b032c,5.163440895980393,-4.502841232972498,2.478976277660355,1.942706134462204,-2.846535556233883,1.831896929128843,3.003959125680749,-2.780225691861634,9.127240426203771,3.509832431239379,3.280760288699578,-2.734365817019602,12.30573571220826,1.456237017580638,3.971331799671001,5,8,2.7202941017470885
787d2872,2.03154827453612,-4.981312982515291,0.9838025759766298,-1.308464915543545,3.512872176192417,4.082129831233781,-2.644652952386335,-4.091885775209686,8.19799168777997,-0.5855785305106259,0.2873593757315241,9.10118840726604,10.76497477734337,1.2154164310459166,4.442559860341575,1,9,11.0
b4dd7019,5.087419777422613,0.7558078684132848,0.9745196000469879,0.006686610508478973,-1.344531950766582,5.451028289568328,-9.130035388258387,-5.322918756987292,4.980783568521129,-0.5507271686752534,1.099776138800971,-2.378276496890791,8.883551239154745,-0.03087232569137599,4.291440522798939,11,10,0.31622776601683794
917cb964,-1.622678982983451,3.667737913160509,3.045699152003138,-1.702566410747536,-0.3208469785477253,3.238549462310337,8.878224641124968,8.182796203893577,-1.89553891678803,1.58929876228573,-3.272828440339588,-8.760293572329333,7.645336866585782,0.9189627360868827,4.936614167031827,3,11,3.3166247903554
6954b3b1,3.208928725354763,-4.548315736278917,0.89411543924448,-0.6356738488378407,5.029999723349031,-5.692920866562043,-1.496957645221935,-2.165541586272111,5.362022772539767,8.419618496847376,-0.4051840566284369,1.686676064432565,7.255552446853841,0.8047306234972247,4.174683859782423,11,12,0.31622776601683794
b17cd734,4.583581166880871,-5.086275654345345,1.017761717392321,-5.703695380418377,1.663345399577762,5.480681577048049,-3.078863527971031,-0.8975549334158901,1.902788769794495,6.613968918522916,0.4295072443076093,3.667361392372085,6.786278831638454,0.8827172241454554,3.990738366862213,3,13,5.196152422706632
b3bbdb72,-0.9895076866886658,-2.270515007443798,6.586252097145438,-3.903254321987798,-0.2725519706589636,2.833387664394525,11.44397006137535,5.594117745940589,2.792058578191592,-0.4190165859996616,-5.688716161451993,-4.125050894999264,6.616425235384207,0.9650977931514461,5.056779307892384,4,14,2.7386127875258306
7830dcbb,-2.86232807028817,-1.292168980481662,9.339047847651045,-9.180586913536946,2.903635058858064,6.514393979801182,-2.944337113653673,-0.9188791479059596,5.549465247625962,-6.357715195986303,-0.1768517151494987,5.339869228185035,6.61544083352267,0.49279535209325626,5.548086637283245,5,15,3.1304951684997055
48cf320f,2.280084729506861,2.713508597045057,-7.239097207162843,4.900863668435312,6.828005894016382,-3.399050144056302,-2.495060090494209,2.215798645153133,-5.660384616331333,-3.593024286893868,0.1792477314744321,8.077658338820713,6.606884339389337,0.4007126049594447,4.923033318729867,1,16,11.0
1d3cd369,4.318457419356524,-6.642880970042311,-2.117478515907348,-7.63317809159077,-2.675026958169352,5.604354586369642,-6.2264315050646,-1.862955942683421,5.815170728557051,-2.4668364913261,4.299230069839751,6.659631772426081,6.153598678307173,-0.24399532485290454,5.294515529290467,11,17,0.30151134457776363
08986844,6.593952296067319,-1.436589239260987,-0.0375320008518781,-1.759097255937141,0.1175582422681077,6.032845283105653,-4.396984333965323,-3.264535082476701,3.996988270685263,-1.418779565957396,-0.2199522617266612,6.367114669780136,6.086793962641956,0.8812490851441993,3.864732256134962,2,18,6.4031242374328485
cf2d56c6,3.266600738318569,-4.775657440186809,-6.722923287678608,-6.555695658142558,-1.091906961737921,6.725453623161494,-2.151296732104865,-0.1345500325395849,-1.594647841581047,0.9265611960117849,4.800937450297939,7.935112329725414,4.533429331069593,0.052332281961984174,4.881376086885822,12,19,0.0
d50c10cd,2.943381369006259,-2.771560551986593,3.558016140172995,-2.593212345029018,-3.114829820806639,5.992512539682099,2.656593938772095,3.167460401286385,-3.302940192944761,-5.67850798798708,3.638790852540245,-10.14446319806882,4.487458412955922,-0.4707299046135694,4.81549297592574,12,20,0.0
916fdfd9,-1.484137121845603,3.09241539288926,3.708537534841346,-2.524944457838734,-2.534840816628182,1.748623964013296,7.388728598423435,6.733020506046998,-1.801328431000438,2.075668002939662,-2.038379742111738,-6.127474456286293,4.092423879772977,0.6863240811202506,4.099954526561967,4,21,2.7386127875258306
38c7fc7b,3.769006179203985,-5.630868707864394,-6.517829736820941,-4.233154123184786,-0.1535010039356887,-0.2462925916354021,5.261138073987584,0.3126182763043698,-3.546277415765363,3.38355626747627,0.9296813150351397,1.147699182469218,3.717547799256029,-0.46035202372750067,3.7879988044632396,12,22,0.0
d252b0cc,1.94857014118527,-5.658445629679565,1.80335555229315,-0.92156688509166,-2.499522798512735,-5.142824826879115,3.533535626030925,-0.1159653397632064,-1.072197217022881,4.26370303016678,0.5394262140461845,4.007218818711525,3.716068633853358,0.057107223790389385,3.3132010283179776,7,23,1.0
cd4803dc,-0.4475816624730198,-2.470070357913162,9.88283764445317,-3.173821792681089,-3.767908433892249,0.4477334874538834,11.23262068768294,4.927476001242918,0.9116719402634628,-2.539489548712883,-0.3972217130919814,-7.100721615529562,3.69113749087118,0.6254603864002024,5.494281036594725,4,24,2.7386127875258306
d9bc9425,6.258161508560424,-4.52965538117133,0.9870274105674244,-3.964941188823015,1.518033104521589,6.270067863931605,-4.756705266366632,-3.76672141252498,5.704146085429352,-0.5464151722322449,0.5363526468595905,5.340033237894651,3.610024093200552,0.7541152863872028,4.365413222769588,2,25,7.0710678118654755
bc9c8c4c,-2.472852410959995,3.683326209666349,6.344686173667839,-3.003265786530792,-1.751637044744495,2.00242300291154,1.80981157241585,5.535375903870426,3.245235731826934,-8.398474707397797,0.6544611078310458,-5.548928229628481,3.0571992159438,0.1750134602440352,4.491077753359767,1,26,11.0
87852799,2.144835524281625,-4.166373365423277,4.693834203595217,-4.248623776880764,-0.09442235906241452,10.19574140230422,-4.258373554880794,-4.260656353356718,5.277136569226012,0.9611312866767369,2.626560982457876,2.669023256746528,2.950127373866683,0.9616511513070204,4.6121188427081385,2,27,7.0710678118654755
dd543bd7,3.09656286383187,-1.699358682209477,-1.508649951643298,-1.521125708961798,-2.221115667860006,9.444531505065644,-4.602780827032243,-0.9081667149224005,6.620862008031092,-0.6636281345628207,0.6362084973776485,0.1096003532154809,2.685877478856571,0.565244961694141,3.977987442308285,11,28,0.31622776601683794
5004c81c,-1.935419034566362,6.427136747314508,5.397909732510782,-4.857871930232983,-1.77421109334269,4.686363518771008,0.354476157843184,2.504552018587598,3.455237139306386,-11.02329930701533,3.928895823919256,-4.013239052870762,2.256530788593206,0.2625442266853828,5.165140961844957,3,29,5.1478150704935
59405297,-0.7507917204530016,2.404575072170186,-0.0927629069942709,-5.022490578154888,4.617347696867226,-0.909117380090578,-5.194771917736394,-6.456576671511026,6.599166848644614,4.391998525839734,0.2146379069179093,6.057168061085814,2.231325883936399,0.488198578048777,4.463112164133179,2,30,6.4031242374328485
5ff2c089,3.97717029477931,-5.874973157315409,0.5040980575231353,-3.126751343969646,1.790929451912434,5.88231382331396,-5.968387490519833,-5.447100645220202,6.793216996121441,0.4842838627633542,0.1849452292203376,6.277492106198279,2.066869364644196,0.45643643206726336,4.736597456982229,2,31,7.0710678118654755
d874631c,3.414541505692169,-5.616240785240924,-0.237041155303967,-1.819472483809768,2.231092982203062,5.38429347644743,-5.501705905514124,-4.639018455268947,7.443840486881341,0.1405908163869714,0.1158524368340593,6.917749052497239,1.747086853383119,0.6528734976503785,4.577711319588882,4,32,2.345207879911715
b57b89cd,0.2590690877115432,1.158598571286638,-0.2983699614108323,1.994407022568539,1.490300484420288,-3.451424703160383,6.916180801222238,5.481630529324043,-5.096530474819503,0.7999685009008921,-1.556232678406902,-5.669433524133777,1.608659209632357,0.1690136379585654,3.793863842349054,3,33,5.196152422706632
71b47b97,4.424861073816639,-7.47429247336806,1.632060478430498,-4.207025779697292,0.210363816785492,5.099283812168068,-5.274901443240487,-4.658966580697055,7.787921223171591,0.9398346518998419,1.167461571164947,5.258788392894302,1.386345392462643,0.4087823952773737,4.861090650695596,6,34,2.0816659994661326
d5c78bbc,3.990356460973254,-4.201788115857446,-0.632863577108167,-3.356774004033771,1.879267306070036,9.536175428317987,-5.430989427825177,-4.319639331177959,4.969776824709271,0.2238750702914507,0.5982658093401654,4.166323843197207,1.372371566629952,0.6184988572414043,4.530162766934681,2,35,7.0710678118654755
db21f28b,4.553316572820772,-3.930433915655664,1.823401718440069,-3.915427636144555,1.841188218364118,5.123267365192248,-3.347104022802431,-0.4462952399400161,3.649040075702249,-6.638363446811193,0.0599226356827516,3.543823007751276,1.301078077644166,0.19302794438330195,3.8773821395898715,12,36,0.0
9ddb66b4,2.777704206508072,-7.484873374684636,0.7519948604734102,-3.621044116248995,0.706077252759919,6.676454599679452,-5.20669263844753,-4.417791654368192,7.485440393035023,-0.5099713085638493,0.6489952153074869,4.778066070891494,1.287364880402464,0.21536329219513797,4.7491910498340655,4,37,4.0
3cd1929f,3.799719054324346,-5.709862791970262,1.354126806424936,-3.665030821088755,0.4179809596940346,5.729213606708051,-4.976754224996006,-4.382849328769753,7.163360543326395,-0.5847786719889084,0.7749214936254424,5.692208214251878,1.260550574800915,0.4676879032951165,4.485483759832319,1,38,11.0
3d227c13,3.224851966441034,-2.853304802170184,-1.252949840042694,-4.120469023187478,0.5223153205068977,4.087435683194099,-3.443688037020007,-5.116453454386809,6.540533088698132,2.680937047235033,-1.350613843950988,9.134801930931626,1.258428904489145,0.6711163363540552,4.4917721623503795,1,39,11.0
8c90882c,3.93618914469516,-5.687198582923203,1.234063270622345,-4.407607738971667,1.139087177336735,6.34392796760512,-4.986264910540885,-4.736802858756253,8.830294231894731,1.197072963652505,0.5806710372290894,3.351020191933685,1.148756357239684,0.566204324481447,4.717061475644817,7,40,1.889822365046136
f250dfc3,0.175664248683147,-4.153267293748169,-8.703674528287678,9.455672688829091,3.204217546996894,-1.855534225044969,6.016421086038993,7.689251482713925,-8.177974625445042,-6.73778096391925,0.00158830067547642,3.440855119380875,1.120453041416002,0.02961990307277455,6.146558767720893,11,41,0.31622776601683794
b1002bc9,3.930585129876121,-4.903867023913926,1.434469995173999,-3.447145980757352,1.413209883151165,5.772148208251703,-4.493221917338871,-4.279391287643304,6.583477182686277,-0.4045338615008125,0.04747401722498017,4.417522426053044,0.9174304307677076,0.5058938976052519,4.125381028502865,12,42,0.0
b3d7dbc2,4.931421927517202,-3.527457699366089,0.4220882529353241,-4.339773961837046,0.2468601635817975,5.046276307699466,-4.363494592950944,-4.528593011854325,8.058889408581946,-0.8147851544275652,0.9327706538312107,3.719703056099163,0.6845679926439708,0.4819921124841782,4.246664887486611,6,43,2.0816659994661326
5fc3bcc4,4.218158949259903,-6.02301223104446,1.266779620950079,-4.138886891126112,0.5797102148389843,6.062712921648574,-5.277724304560037,-4.838083647581308,7.833139644439822,-0.01444760686116149,0.5657463385443431,5.122556013198951,0.6815125036869529,0.4463874184756316,4.735613902832154,4,44,3.5355339059327378
9bf7ccb3,4.382226618735823,-5.552296873540582,1.064846633039266,-4.801862390938175,0.5074172167120439,6.845088554702231,-5.320799777763889,-4.737762117757411,7.997927485279275,0.4846857528545638,0.9120130310210464,5.116978087436103,0.6461447902053494,0.574871851648358,4.855596268050595,1,45,11.0
d707cb75,4.029996129727945,-4.176801342326177,-0.8779299894245021,-2.578790197088992,2.10584944305645,6.929587309257612,-2.765224389728108,-5.398684089723263,3.48444058573685,-9.534163101711098,1.662180803988746,5.571731088401263,0.5538061756666968,-0.12898397915277285,4.926758831072552,12,46,0.0
Benchmark,3.990356460973254,-5.972217322696254,1.214532036337562,-4.138886891126112,0.5773235167057721,6.060059749122475,-5.272997107254333,-4.834453883606936,7.838877206432673,-0.01729695379491345,0.5700101716406804,5.121813571867505,0.4534698057912087,0.42809337955011434,4.712043373152606,1,47,0.0
1bdff261,3.915751976431727,-5.95773364457496,1.17994416016834,-4.090601471176615,0.6340227182730386,6.071535989444703,-5.299239838242094,-4.859162455867082,7.824912836530149,-0.1175976290450074,0.5283967942566856,5.169406006445945,0.4074845195666529,0.416636286887069,4.710471422446773,1,48,11.0
39b9b3b1,3.967227223042081,-6.161302864847628,1.209742786696764,-3.732850892714981,0.3530647621672326,5.492887829330669,-5.429756349230839,-4.676583707217449,8.369283878357388,-0.5254214469505936,0.8376862648654919,5.610781474585882,0.3609090116240664,0.44289657984033476,4.7758582060332735,2,49,7.0710678118654755
dcc0145b,5.188353158215891,-4.412884746297875,1.288799998571517,-4.423307911642581,1.007246321291297,6.918105956043663,-4.334318814365083,-2.273172380057634,6.722669655220598,-2.998820648894745,0.07840899449652092,1.631378276278083,0.2977165868479981,0.36603815490497094,4.217868208627426,2,50,7.0710678118654755
cfd8f183,3.227421885763305,-6.789032203053738,-0.1027502886139725,5.780599651948792,-0.409759988284836,-2.216734510391735,1.914793571682701,-6.228512094706456,2.364646652530369,0.5402243657509266,-1.228807185084858,0.8968093299002737,0.1380814976248033,-0.18759173437993573,3.6338191158969955,12,51,0.0
fb07c974,4.750765481507721,-3.270648646743346,1.270900671992174,0.1872738014020587,0.9047139762020373,8.71727011064114,-6.039878514909166,-6.183540799201602,4.92600034278386,-0.9207227891221961,-2.708725415598119,0.947265137101132,0.06821407910180995,0.2150561130046412,4.4643590086988665,1,52,11.0
d10b6093,0.7591277090532956,-0.4843489812177472,1.538276710806026,-0.03375373354297562,-2.824088194399866,3.50911763895735,-3.353402109757615,-2.682657005045979,6.433649967457031,7.848952676265902,-1.838432657871302,-5.945570266185555,0.04025529627876828,0.24390597954321377,4.077915101678248,1,53,11.0
d18b809d,4.085044484402816,-6.150581779581907,1.06807212383492,-4.299445575689316,0.1113527384179602,5.799459554680989,-4.979379083730525,-5.054790179851715,8.45319215453916,0.3409877873989882,1.046706573959247,3.602126784844268,-0.2197890443333467,0.33522879860207366,4.694577214939188,2,54,7.0710678118654755
ffbf60c3,3.990356460973254,4.99875356664384,-1.462888457212602,-3.952074610232108,0.02385496499039786,-4.441134243787327,5.875093426211971,3.064694789592261,0.8578403217862103,3.868474532222955,2.839837776744272,-7.558652912595181,-0.2461584870266171,0.6753463012781618,4.239731164024083,4,55,4.0
1995b9c2,-2.945364269378488,-2.115707348513897,6.212715475260208,-5.399129400470311,0.6734286886465374,10.55157943996556,-4.182545909449072,-5.894609708281596,7.661509440439255,3.842922292904822,0.840623335855504,-1.947398229129876,-0.3000487249480144,0.6081686506540539,5.38057639457849,2,56,5.830951894845301
2b6cb11d,3.915003931364302,-6.369590400194052,1.047382372821001,-4.209325142551247,-0.5066935883908487,4.417126606606592,-5.443584419874417,-4.809447061626504,8.016255365776322,-0.2528944654055655,0.10793093882195,4.842705629891845,-0.4679939422833207,0.06290581393661492,4.621941453287935,2,57,7.0710678118654755
f5d74bfb,-3.139594858047768,-3.096781665982272,4.703422981864929,-5.263806945973006,0.2325629625577383,6.608474741232145,0.7096949907915904,-1.414073547606396,11.77094110168835,-3.706475418777399,-1.657780284732159,-1.509125341459509,-0.4833200587428955,0.353121559629687,4.9665117626404,7,58,1.35400640077266
f067b9f5,3.990356460973254,-6.956946090927904,1.091295754440888,-4.509488081948161,0.1917940050415633,5.485259318108247,-5.456802191502236,-5.096905094145193,8.13547216638652,0.3758380603308375,0.7395703609875418,5.210028708191432,-0.5267436319787893,0.2666227813280658,4.907266521025614,2,59,7.0710678118654755
89c29b7d,-1.390714038374665,2.513900867480231,4.724026681471431,-1.500245019572247,-3.249839329613744,-5.17568790046229,9.115506914588588,3.425813890667557,1.565386157859051,-8.182148363220175,-1.660097332922128,-6.622436484718238,-0.5734006360316934,-0.5363778297347194,5.0231914343178765,3,60,3.3166247903554
3bdbc3c0,-5.098202558249318,-11.52117611699832,-1.748276062714872,3.57728809312124,-7.62952105151661,-3.025886120048763,0.6921566296998201,3.276905704527077,-4.7966026931838,4.506210640541924,6.141404466837366,-3.281685498157276,-0.6247143531814098,-1.5756153805117947,5.352775594022165,9,61,1.0606601717798212
d64f73c2,3.134804565087807,-6.66294832827054,0.544059061439145,-3.15911971326241,1.524256682968901,6.444437029779739,-5.359722956731794,-3.81096550545838,5.696182791940626,-2.446970514067564,-0.3894346188633028,8.005964213732707,-0.7030173282798626,0.2933785590245779,4.798205788698989,2,62,5.830951894845301
22dcdc75,3.607439812625474,-6.354900166565934,2.139404171435084,-4.419905245772214,0.9482076038188424,5.925592061111028,-5.578321114279099,-5.209238290539856,8.07287206490116,1.037592110966457,0.6243098483282475,4.63010325998327,-0.767287538549837,0.4519296763343715,4.8373654948365,8,63,1.118033988749895
dcc4c022,0.8301485637975461,-3.566657423568399,2.531188222903215,-2.057720300384521,-1.425925205506019,4.578841205612893,0.2105045945945641,-1.54722726295145,-1.36368123283046,-2.188797691456204,4.256415401651871,-3.214631416345054,-1.018754582369496,-0.24646187870683486,2.76111077609146,10,64,0.4714045207910317
644389bc,3.905078321023235,-6.934159885379533,0.729880673348851,-2.114472838128319,0.001574588124295675,3.897772077582178,-0.5557198287553325,-6.760035433226485,7.51598390780053,-4.337715886173534,-0.8909688444861972,4.590157063014942,-1.157129023231476,-0.07938550710461412,4.5390127107926554,1,65,11.0
1374c1f1,4.787441558559975,-7.487028863231218,0.723553418075434,-4.43960365093792,1.11680675236993,6.061135790799115,-5.80596306060003,-5.759921857948719,8.202354308531834,0.4891249915670206,1.134583534352704,4.471133750393631,-1.21834459122536,0.2911347226609799,5.15097874564207,1,66,11.0
1cd83ccc,5.647893881013224,-4.442582346564029,1.240288116654334,-5.064628625424654,0.1087648386624619,7.31219510662645,-5.506001586148151,-4.145336432961026,7.067114817685537,-3.022655224787457,0.4026039261251843,2.987493500028576,-1.337916307413554,0.21542916424253755,4.742599619792635,1,67,11.0
d562f28c,-0.9865701528023343,-2.055356744869675,7.028453032759381,-5.125612646845888,-0.9567074097687017,1.190259526792259,10.22490272431096,4.955871034454582,1.397241967121071,-3.251697068039331,-3.760339122861203,-8.025339578443775,-1.608210175103181,0.05292546348394541,5.251394625535229,4,68,2.7386127875258306
31bb28c9,1.931948756021609,-4.708132798390865,1.228340374139077,-2.900584885735559,1.593721065304645,4.833639868164017,-4.609012081510184,-3.684101622182482,4.508513990793377,-0.2656675363103556,0.5928344314268434,5.639349324096746,-2.003646285283003,0.3467374071514056,3.663692135358157,10,69,0.6324555320336759
6133c0d7,4.336517289770041,-5.189451679027934,0.3348156595658592,-2.969112464461042,0.1191930915204077,4.782933006334449,-4.5452797069048,-4.00771118930219,4.968591754208693,-3.020278232221624,0.3737696797347859,5.651341792831007,-2.003760068267457,0.06961075017063763,4.046364221994347,1,70,11.0
b5188797,-2.583523202144833,-2.544765990102945,-2.866751664359237,2.075355745377036,4.071446114841621,-2.101747215386747,4.953087674974634,0.87999289742194,-2.76146847074178,3.687777868002418,-0.161211722785002,-4.379124272602366,-2.222768255748727,-0.14424435312543826,3.193113721553559,3,71,5.196152422706632
c3b8d4fc,0.3501451070667781,-5.876149477080373,1.861394546587634,-4.66806370390491,0.05012916215860561,7.251358671458324,-5.031952305085267,-4.244014986108656,8.153117744683236,-0.5335447376366047,0.6188250094712213,3.492344488006418,-2.297016136534687,0.11863245996803373,4.622010530917777,2,72,7.0710678118654755
538b0bb5,-0.4677676196152656,6.04876560628416,1.350174142066576,2.16423814027088,-3.337831469982217,-3.954971667929498,1.483433251557428,5.004600258820853,-5.40913879987343,8.525335719060742,-0.3479104973659961,-8.160762853184792,-2.362944156790434,0.24151368417578656,4.911045658414372,1,73,11.0
b875c91c,-4.08360685615432,6.225884153803599,-1.61669660092235,4.080109406655176,-0.9781271216116939,-5.778938232087826,5.40321083896277,4.99325162919614,-7.890070318082535,-1.634409148615174,-0.9396647895428412,-4.619866399291061,-2.470667076184525,-0.5699102864741764,4.733167818883103,1,74,11.0
0102b20c,-1.624262416535153,2.754844992269819,2.880914552617198,-3.487429778434421,2.961852453489717,0.0898974942657042,6.140459710831775,9.470318919080015,-4.364570753996214,-6.875024284229368,-2.471296107835272,-2.3594595956399,-2.742338036153232,0.2596870988236583,4.710169018326615,1,75,11.0
1240bcc8,-1.030888335687971,-7.177829094813968,-1.416343725083667,3.22858494325784,1.459547145077187,-1.70867015258079,2.289559628121782,-4.153832086034067,1.100929270545576,4.841225803086312,2.440655440752268,2.501425583965843,-2.91564172934392,0.19786370171719528,3.423895022040139,3,76,5.196152422706632
c8f498d2,-0.4152938608910143,-3.073207015879307,10.06976928416727,-4.092163940698444,-3.051852519443984,-2.241098201705157,11.66750275088959,4.152798288344135,3.257226208786089,-13.49130951352106,0.7736406607110204,-7.131509266123639,-3.047878638882563,-0.2979580937803749,6.9967028563772695,4,77,2.7386127875258306
5c0347cc,3.862926971410463,-7.958079487124739,0.8242328775138501,-4.291641427632975,1.846149125501662,5.445272232038731,-5.937037205842414,-6.067630332916576,6.928713952416454,1.41464323312801,0.4777383258588614,4.42401984454011,-3.120582533727325,0.08077567574095308,4.974523881205416,1,78,11.0
9078bb5f,-4.232387646480711,5.795248329578418,-1.484261042057184,3.872115746643083,-0.7396331665894732,-6.197344146175486,5.098662514416485,4.468744670646342,-7.936271353837724,-0.1426237436925621,-0.7607877956949786,-5.221157143783366,-3.283162545628261,-0.6233078980855965,4.669011588382128,1,79,11.0
bfd7c457,-6.084562450415953,-1.314953408007749,11.44558998723699,-6.185977480688955,-4.277419472457227,6.913670339673379,-7.634964859079259,-5.012979716029948,3.411206709324303,0.4924373648756169,4.341021038814775,2.959397704007735,-3.657916232198031,-0.0789611868955243,6.007140939529343,11,80,0.30151134457776363
656bb49c,-0.2965892857989638,-4.666727940535957,2.619599355507615,-5.041970848552049,0.01452303859443629,9.450643002731768,-4.138659471481224,-2.972987752547026,8.089819792532433,-2.004686771661536,0.4715700653808093,-0.9271761742542434,-3.685595518504098,0.04977975082633846,4.670491109153953,3,81,5.196152422706632
380c6343,4.072510502609438,-3.086290412423316,0.3492056891592534,-6.453552320674778,-4.491675854384662,5.006892121476867,-3.841718714243811,-3.244275856448135,4.801571515383141,1.649473872613438,3.157893352686713,3.102860846295819,-4.037372049126876,0.08524122850416398,4.08653840854368,12,82,0.0
c261b5c3,-2.343678314407863,-5.741961919636076,1.400361086593115,-4.360352082231936,0.621192400177046,6.324061105398677,-5.193233380742766,-4.555129875145044,7.997870878295132,-0.4477792470489534,0.6072174857788769,5.062693191634434,-4.277355007042329,-0.052394889277946444,4.648247213594272,2,83,7.0710678118654755
c674f84b,-4.607617764380528,3.57369344023649,-1.474774746465096,-1.920851573227932,2.01299368845619,6.477006229255374,-2.87676466689883,-2.751337192176643,2.326451027978942,-6.140593235247315,0.2348988996472029,-0.7215187722894153,-4.311691155248152,-0.48903455542596336,3.5997551823993397,9,84,0.6123724356957945
78cc44f1,-1.529378334575995,1.512607377957756,3.737990332211654,-4.970399855795261,-3.116457152815883,3.458742716752465,-1.91785583631614,0.9881448133253127,5.082604756123924,-8.783439736162967,2.027516902040739,-0.5734906108071216,-4.326242332237098,-0.3402845523384596,3.9962040081596277,1,85,11.0
3900b673,2.419240208863456,-7.316543615618119,3.963208128736528,-4.532326105800242,-1.784651072536745,5.647637244297921,-4.373388619898738,-4.98744660279245,9.52874512654551,1.060198650648809,1.656033204390556,0.07983252666077698,-4.407311680877481,0.11337825612477194,4.9472769215452415,3,86,5.196152422706632
515b11f9,4.075940685910934,-6.346560166264703,-0.7505999651099244,-5.962642181321372,-0.982732882985092,7.506424404074028,-4.783651745365324,-1.281116791571833,6.32088956767427,-0.6120900330158778,-0.7249547927534554,6.659631772426081,-4.420286928418447,0.2598781559748111,4.854608776267987,12,87,0.0
2bc96665,-0.2204439842062725,-6.970843307939525,1.707329729261383,-4.428345763681063,1.272716672376432,4.144915850715075,-5.279829193898093,-5.260315398810061,8.231909781131895,2.25399178826906,0.7973482218283745,3.467545482113917,-4.519711240655135,-0.023668343569906398,4.582693270519514,2,88,7.0710678118654755
4b556c23,2.161837795583751,3.358187302779796,-1.185041630029126,-0.8327284810601144,0.4305171901119887,-0.7906739264424182,3.479588385845085,4.494442696116598,-2.344742831373971,1.653946056567889,-2.312798881605156,-6.673968152507787,-4.837893001144644,0.11988046033221145,3.1495825981618446,3,89,5.196152422706632
939398bd,-1.149212094466803,-6.785596492821798,-1.438768819986266,-1.31084385174509,2.885575366939237,-2.279043183620797,0.622516585485091,-6.233036714768915,2.605354567136764,4.391630782770602,-0.1553486643909733,3.146598030892554,-5.083091103118241,-0.4750145407146995,3.5317272635095347,1,90,11.0
