,sid,strategies,changes,sig_changes,IR
1,2bc96665,2,1,1,-4.519711241
2,1240bcc8,1,0,0,-2.915641729
3,91716b78,4,4,4,-8.61190732
4,fb07c974,1,0,0,0.068214079
5,ccb2bfb9,1,0,0,24.72014583
6,9078bb5f,1,0,0,-3.283162546
7,656bb49c,2,1,1,-3.685595519
8,6f6dc500,4,3,2,-13.03436324
9,39b9b3b1,2,1,1,0.360909012
10,939398bd,1,0,0,-5.083091103
11,b875c91c,1,0,0,-2.470667076
12,d5c78bbc,2,1,1,1.372371567
13,f8fbd1bf,2,1,1,28.65539202
14,8c13bdf6,6,5,2,-5.981975382
15,db442696,1,0,0,-10.19629225
16,916fdfd9,1,0,0,4.09242388
17,644389bc,1,0,0,-1.157129023
18,c8f498d2,1,0,0,-3.047878639
19,8986844,1,0,0,6.086793963
20,2ddbfd56,6,6,6,-22.66398567
21,60b1d9cc,2,1,1,-7.653872235
22,41c16cc4,2,1,1,-5.708332892
23,b4977cb7,2,1,1,-22.60984851
24,dcc0145b,2,1,1,0.297716587
25,6954b3b1,3,3,1,7.255552447
26,30c5c41c,2,1,1,-22.01307855
27,4b556c23,1,0,0,-4.837893001
28,b3bbdb72,2,1,1,6.616425235
29,ffbf60c3,2,1,1,-0.246158487
30,c674f84b,3,2,1,-4.311691155
31,b6b963b5,1,0,0,-6.806813556
32,dfb3c499,1,0,0,-9.058045026
33,b5188797,1,0,0,-2.222768256
34,dcc4c022,3,5,4,-1.018754582
35,d10b6093,1,0,0,0.040255296
36,1d3cd369,4,4,3,6.153598678
37,05cd7224,2,6,0,-10.9562605
38,14cbb019,4,4,3,-7.52820538
39,1cd83ccc,1,0,0,-1.337916307
40,bbb3c357,4,8,5,32.88981457
41,87852799,1,0,0,2.950127374
42,b3d7dbc2,2,2,2,0.684567993
43,f4767b9c,1,0,0,-12.12115079
44,203bb693,2,2,2,-6.103663566
45,5ff2c089,1,0,0,2.066869365
46,bccf94bb,1,0,0,-5.874998628
47,d562f28c,2,1,1,-1.608210175
48,5fc3bcc4,1,0,0,0.681512504
49,7589718c,1,0,0,12.47064009
50,917cb964,1,0,0,7.645336867
51,b57b89cd,2,1,1,1.60865921
52,0b1bfb9c,5,5,4,-19.67177194
53,515b11f9,7,8,7,-4.420286928
54,f067b9f5,1,0,0,-0.526743632
55,22dcdc75,2,2,2,-0.767287539
56,47dd8149,2,1,1,-7.058069325
57,bc9c8c4c,1,0,0,3.057199216
58,dd543bd7,3,5,1,2.685877479
59,872bdbc9,2,1,1,17.94236149
60,20fbd380,1,0,0,-11.24211246
61,3cd1929f,1,0,0,1.260550575
62,2b6cb11d,2,1,1,-0.467993942
63,2f030cc5,1,0,0,-7.03037565
64,47dc617b,5,4,3,-18.17401529
65,169b45f0,1,0,0,-6.214346113
66,c3b8d4fc,2,1,1,-2.297016137
67,f743b142,1,0,0,-21.14191044
68,3900b673,1,0,0,-4.407311681
69,c9b02591,5,6,4,-15.2230516
70,12b14bfc,5,7,6,-11.1313706
71,f250dfc3,4,7,1,1.120453041
72,38c7fc7b,8,8,6,3.717547799
73,7139c8db,2,2,2,-8.370654806
74,5c7bb709,2,1,1,-8.797565045
75,9b7bb959,4,4,2,21.536854
